2018-04-28 17:44:34, INFO, 101.206.167.77, File[ E:\msw\unionpay\pay.php ], Line[142]------ ============处理前台请求开始=============== 
2018-04-28 17:44:34, INFO, 101.206.167.77, File[ E:\msw\unionpay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2018-04-28 17:44:34, INFO, 101.206.167.77, File[ E:\msw\unionpay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://msw.unohacha.com/unionpay/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://msw.unohacha.com/unionpay/FrontReceive.php&merId=310420173990262&orderId=MS201804281744207460&reqReserved= 透传信息&signMethod=01&txnAmt=19800&txnSubType=01&txnTime=20180428174434&txnType=01&version=5.0.0 
2018-04-28 17:44:34, INFO, 101.206.167.77, File[ E:\msw\unionpay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >85a88c87728235e0eec955e8defbba5340cfc12a 
2018-04-28 17:44:34, INFO, 101.206.167.77, File[ E:\msw\unionpay\func\secureUtil.php ], Line[33]------ 签名串为 >g+Fq97KH9Uu8SLz9jAw0A4pL+z0aM8iDbmt2PGBdqdR7HVye68an+5/PspSQ1pI5ptnMxVfIIZy9gMJuZVRYBa0lo7qoDkBpD+FRyCos+3JgeOL4UUD3PGA+jIMX9QriwMUqowavMj2g4XYThSjjEgpcbOdkO0plWZASQpbclzZMhJgs6gev3u39y4lmW7gUqmAEAHHjGdGs1v0ZqEYv+KfhZ1hfW43aYT3xn2127kncFYTbFUOeNIqekyVRleAE0JOiXUnQd52nbXJJgdxNNtORU6xq9pL8OSzVBvFLzABxtVDcI/B6uFbvy/J4YZo5y7nYY1kT7vadAzsdN5uDNQ== 
2018-04-28 17:44:34, INFO, 101.206.167.77, File[ E:\msw\unionpay\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2018-04-28 17:44:34, INFO, 101.206.167.77, File[ E:\msw\unionpay\pay.php ], Line[172]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2018-04-28 17:45:33, INFO, 61.151.226.85, File[ E:\msw\unionpay\pay.php ], Line[142]------ ============处理前台请求开始=============== 
2018-04-28 17:45:33, INFO, 61.151.226.85, File[ E:\msw\unionpay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2018-04-28 17:45:33, INFO, 61.151.226.85, File[ E:\msw\unionpay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://msw.unohacha.com/unionpay/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://msw.unohacha.com/unionpay/FrontReceive.php&merId=310420173990262&orderId=MS201804281744207460&reqReserved= 透传信息&signMethod=01&txnAmt=19800&txnSubType=01&txnTime=20180428174533&txnType=01&version=5.0.0 
2018-04-28 17:45:33, INFO, 61.151.226.85, File[ E:\msw\unionpay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >abf7a6329e77ab52e0df86b2aa65ddd7fe725c81 
2018-04-28 17:45:34, INFO, 61.151.226.85, File[ E:\msw\unionpay\func\secureUtil.php ], Line[33]------ 签名串为 >TS7Ne0qEL4TjO0Liwfx1LOyINRJfO8n+c7UrlRCtrcGEWNWQ2YoZ+HIW7KbiCUV4yBPeVoNtopGkV0bKDgT7zRJB5XVNs/gEN565hiee4jkmHEnpYA41b0ulQeE5JCTiXAM3DvBFxw1TBW6bHQRWXDSs51Qck/jvU0rlOITRqtYxgk9Vi+bfZekVItQYaMKMCAM0qVknxf9GEQfZIyQJVfvH0VvAmP55zUHVbTwqt8o4sjA48irw0Lx9vyaqpPDwJP34fQ56arvoXnAHq+2/KY5aPiCeP3bzxOHNKTtjNZ8Z7RkgCAgD/4+BjLNiQSgbaPvTAW45q53w/crV/iv5IA== 
2018-04-28 17:45:34, INFO, 61.151.226.85, File[ E:\msw\unionpay\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2018-04-28 17:45:34, INFO, 61.151.226.85, File[ E:\msw\unionpay\pay.php ], Line[172]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
