2018-01-12 9:35:19, INFO, 127.0.0.1, File[ D:\phpstudy\WWW\msw\unionpay\pay.php ], Line[65]------ ============处理前台请求开始=============== 
2018-01-12 9:35:19, INFO, 127.0.0.1, File[ D:\phpstudy\WWW\msw\unionpay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2018-01-12 9:35:19, INFO, 127.0.0.1, File[ D:\phpstudy\WWW\msw\unionpay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://www.msw.un.com/unionpay/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.msw.un.com/unionpay/FrontReceive.php&merId=310420173990262&orderId=MS201801120935154781&reqReserved= 透传信息&signMethod=01&txnAmt=100&txnSubType=01&txnTime=20180112093519&txnType=01&version=5.0.0 
2018-01-12 9:35:19, INFO, 127.0.0.1, File[ D:\phpstudy\WWW\msw\unionpay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >020ca898dda51c5f22e11bbf9a691ce5f2789181 
2018-01-12 9:35:19, INFO, 127.0.0.1, File[ D:\phpstudy\WWW\msw\unionpay\func\secureUtil.php ], Line[33]------ 签名串为 >IRsQKzecHAWUeVpeLgmxeoh0VS/q/hoguma9AUNTGnEb7vo7mqhjyEBdFINe+NKUHG7zEqtvrCAUs8W0WVdm4lG5Si8faGNXyGy2xTCz2UP/mizbLB65FGY1sqW1KfGov+N6lcWceB8CRrb+62gf2EuvmixPOl0jYgxSxRcNA0vnb+E+bY+KWXLNDRs5JIpFB/UA4CB3jxYFx8bCAajS4d+BgXICpajMWjMGd9v+JkVRYP59HRb5DrYbjIYuF/FUXjbyggYOujW6WWkrzTW++B2cXruxF3as/ZQ4vAft+nx+1zZNP1A+oU3s4zqzQJUVljHntnUAg4AZVHGipJKNvw== 
2018-01-12 9:35:19, INFO, 127.0.0.1, File[ D:\phpstudy\WWW\msw\unionpay\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2018-01-12 9:35:19, INFO, 127.0.0.1, File[ D:\phpstudy\WWW\msw\unionpay\pay.php ], Line[95]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2018-01-12 11:23:50, INFO, 127.0.0.1, File[ D:\phpstudy\WWW\msw\unionpaypm\pay.php ], Line[83]------ ============处理前台请求开始=============== 
2018-01-12 11:23:50, INFO, 127.0.0.1, File[ D:\phpstudy\WWW\msw\unionpaypm\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2018-01-12 11:23:50, INFO, 127.0.0.1, File[ D:\phpstudy\WWW\msw\unionpaypm\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://www.msw.un.com/unionpaypm/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.msw.un.com/unionpaypm/FrontReceive.php&merId=310420173990262&orderId=12018011252571014&reqReserved= 透传信息&signMethod=01&txnAmt=100&txnSubType=01&txnTime=20180112112350&txnType=01&version=5.0.0 
2018-01-12 11:23:50, INFO, 127.0.0.1, File[ D:\phpstudy\WWW\msw\unionpaypm\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >7dd6a03a652d0a317f95a5fd8d5bf27302124f52 
2018-01-12 11:23:50, INFO, 127.0.0.1, File[ D:\phpstudy\WWW\msw\unionpaypm\func\secureUtil.php ], Line[33]------ 签名串为 >ind6m8URJpkFC9o80zNuvUsrujPMq4cAHvQn4wi7PrG1Dd8khXeF3DAyvF28vdOg8RVLxzAzw20Qq0oRkMEL0SbLmUh/9OjaM5CbgdxK5L4If/aYhAnWXReMecUcX853DtE8ycDd3IR6ypMJdmHZ78Tmx5lFO08BdgnWYH3/lT74oZ1RujGh5NQyDCScRlW0OVH2+ct3GwdsG9+xJ/C13Xc0Wrk7U5F2CO9L/Jc9oo53rgOYNMYhPLUONyF9xMykGUlN2GkEspj3Vt6PaDl6vspjCgKgJdRgl+Aiodno6pIGfEdpyOpf7HFte7aXPDdvk/YeIqpCRylab9SK2j5u2g== 
2018-01-12 11:23:50, INFO, 127.0.0.1, File[ D:\phpstudy\WWW\msw\unionpaypm\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2018-01-12 11:23:50, INFO, 127.0.0.1, File[ D:\phpstudy\WWW\msw\unionpaypm\pay.php ], Line[113]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2018-01-12 13:43:23, INFO, 125.119.246.32, File[ E:\msw\unionpaypm\pay.php ], Line[83]------ ============处理前台请求开始=============== 
2018-01-12 13:43:23, INFO, 125.119.246.32, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
